bench,conn,count,bytes,world,iters,min_us,median_us,p99_us,max_us,busbw_gbps
allreduce,tcp_untuned,2097152,8388608,2,200,7636.89,7867.40,8272.67,8314.40,8.530
allreduce,tcp_untuned,3145728,12582912,2,200,8155.25,8910.35,9520.89,10018.92,11.297
allreduce,tcp_untuned,4194304,16777216,2,200,10459.51,10871.08,22083.49,25263.93,12.346
allreduce,rdma,16384,65536,2,200,16.87,17.31,30.57,34.49,30.288
allreduce,rdma,65536,262144,2,200,47.95,49.09,1622.02,2404.93,42.721
allreduce,rdma,262144,1048576,2,200,173.71,181.01,195.02,197.68,46.342
allreduce,rdma,1048576,4194304,2,200,608.26,615.68,689.04,2690.10,54.500
allreduce,rdma,1572864,6291456,2,200,1021.71,1038.39,2633.34,3218.67,48.471
allreduce,rdma,2097152,8388608,2,200,1730.67,1775.56,2358.22,2363.84,37.796
allreduce,rdma,3145728,12582912,2,200,3163.43,3202.16,3247.42,3602.83,31.436
allreduce,rdma,4194304,16777216,2,200,4325.47,4485.05,6170.07,6207.55,29.926
allreduce,tcp,16384,65536,2,200,79.31,84.02,93.59,96.35,6.240
allreduce,tcp,65536,262144,2,200,230.85,248.58,294.62,305.15,8.437
allreduce,tcp,262144,1048576,2,200,544.37,556.83,579.69,582.41,15.065
allreduce,tcp,1048576,4194304,2,200,3786.56,3930.68,4075.91,4140.40,8.537
allreduce,tcp,1572864,6291456,2,200,4033.26,4168.56,5056.47,14412.63,12.074
allreduce,tcp,2097152,8388608,2,200,5459.21,5617.15,7185.96,9190.40,11.947
allreduce,tcp,3145728,12582912,2,200,7873.32,8035.60,9931.97,10648.28,12.527
allreduce,tcp,4194304,16777216,2,200,15311.61,15530.51,15857.10,15900.23,8.642
allreduce,tcp_untuned,16384,65536,2,200,106.43,114.99,167.22,174.46,4.559
allreduce,tcp_untuned,65536,262144,2,200,190.93,200.92,284.94,298.49,10.438
allreduce,tcp_untuned,262144,1048576,2,200,641.93,748.49,863.89,865.20,11.207
allreduce,tcp_untuned,1048576,4194304,2,200,3182.24,3358.67,3493.65,4183.21,9.990
