bench,conn,size,depth,iters,min_us,median_us,p99_us,max_us,gbps,rep
perftest_ib_write_bw,verbs,1048576,64,1000,,,,,92.57,4
bw_rdma_write,verbs,1048576,64,1000,,,,,90.762,5
perftest_ib_write_bw,verbs,1048576,64,1000,,,,,92.58,5
bw_rdma_write,verbs,65536,1,4096,,,,,59.273,1
perftest_ib_write_bw,verbs,65536,1,4096,,,,,59.42,1
bw_rdma_write,verbs,65536,1,4096,,,,,59.373,2
perftest_ib_write_bw,verbs,65536,1,4096,,,,,59.47,2
bw_rdma_write,verbs,65536,1,4096,,,,,59.321,3
perftest_ib_write_bw,verbs,65536,1,4096,,,,,59.49,3
bw_rdma_write,verbs,65536,1,4096,,,,,59.222,4
perftest_ib_write_bw,verbs,65536,1,4096,,,,,59.48,4
bw_rdma_write,verbs,65536,1,4096,,,,,59.124,5
perftest_ib_write_bw,verbs,65536,1,4096,,,,,59.14,5
bw_rdma_write,verbs,65536,2,4096,,,,,92.254,1
perftest_ib_write_bw,verbs,65536,2,4096,,,,,92.54,1
bw_rdma_write,verbs,65536,2,4096,,,,,92.062,2
perftest_ib_write_bw,verbs,65536,2,4096,,,,,92.54,2
bw_rdma_write,verbs,65536,2,4096,,,,,92.249,3
perftest_ib_write_bw,verbs,65536,2,4096,,,,,92.54,3
bw_rdma_write,verbs,65536,2,4096,,,,,92.102,4
perftest_ib_write_bw,verbs,65536,2,4096,,,,,92.50,4
bw_rdma_write,verbs,65536,2,4096,,,,,92.531,5
perftest_ib_write_bw,verbs,65536,2,4096,,,,,92.54,5
bw_rdma_write,verbs,65536,4,4096,,,,,92.450,1
perftest_ib_write_bw,verbs,65536,4,4096,,,,,92.54,1
bw_rdma_write,verbs,65536,4,4096,,,,,92.318,2
perftest_ib_write_bw,verbs,65536,4,4096,,,,,92.49,2
bw_rdma_write,verbs,65536,4,4096,,,,,92.202,3
perftest_ib_write_bw,verbs,65536,4,4096,,,,,92.54,3
bw_rdma_write,verbs,65536,4,4096,,,,,92.347,4
perftest_ib_write_bw,verbs,65536,4,4096,,,,,92.54,4
bw_rdma_write,verbs,65536,4,4096,,,,,92.286,5
